filename,start,end,label
20150926/JASCOAMARHYDROPHONE2402_20150926T202115.318Z.wav,8.48,9.52,0
20150926/JASCOAMARHYDROPHONE2402_20150926T202115.318Z.wav,13.67,14.33,0
20150926/JASCOAMARHYDROPHONE2402_20150926T202115.318Z.wav,35.5,36.5,0
20150926/JASCOAMARHYDROPHONE2402_20150926T202115.318Z.wav,47.67,48.33,0
20150926/JASCOAMARHYDROPHONE2402_20150926T202115.318Z.wav,61.66,62.34,0
20150926/JASCOAMARHYDROPHONE2402_20150926T202115.318Z.wav,62.56,63.44,0
20150926/JASCOAMARHYDROPHONE2402_20150926T202115.318Z.wav,67.82,68.18,0
20150926/JASCOAMARHYDROPHONE2402_20150926T202115.318Z.wav,74.5,75.5,0
20150926/JASCOAMARHYDROPHONE2402_20150926T202115.318Z.wav,123.61,124.39,0
20150926/JASCOAMARHYDROPHONE2402_20150926T202115.318Z.wav,159.55,160.45,0
20150926/JASCOAMARHYDROPHONE2402_20150926T202115.318Z.wav,161.34,162.66,0
20150926/JASCOAMARHYDROPHONE2402_20150926T202115.318Z.wav,165.62,166.38,0
20150926/JASCOAMARHYDROPHONE2402_20150926T202115.318Z.wav,177.76,178.24,0
20150926/JASCOAMARHYDROPHONE2402_20150926T202115.318Z.wav,177.8,178.2,0
20150926/JASCOAMARHYDROPHONE2402_20150926T202115.318Z.wav,179.68,180.32,0
20150926/JASCOAMARHYDROPHONE2402_20150926T202115.318Z.wav,184.61,185.39,0
20150926/JASCOAMARHYDROPHONE2402_20150926T202115.318Z.wav,196.42,197.58,0
20150926/JASCOAMARHYDROPHONE2402_20150926T202115.318Z.wav,197.73,198.27,0
20150926/JASCOAMARHYDROPHONE2402_20150926T202115.318Z.wav,200.65,201.35,0
20150926/JASCOAMARHYDROPHONE2402_20150926T202115.318Z.wav,228.4,229.6,0
20150926/JASCOAMARHYDROPHONE2402_20150926T202115.318Z.wav,244.53,245.47,0
20150926/JASCOAMARHYDROPHONE2402_20150926T202115.318Z.wav,251.66,252.34,0
20150926/JASCOAMARHYDROPHONE2402_20150926T202115.318Z.wav,256.5,257.5,0
20150926/JASCOAMARHYDROPHONE2402_20150926T202115.318Z.wav,265.62,266.38,0
20150926/JASCOAMARHYDROPHONE2402_20150926T202115.318Z.wav,275.78,276.22,0
20150926/JASCOAMARHYDROPHONE2402_20150926T202115.318Z.wav,276.7,277.3,0
20150926/JASCOAMARHYDROPHONE2402_20150926T202115.318Z.wav,292.78,293.22,0
20150926/JASCOAMARHYDROPHONE2402_20150926T202615.314Z.wav,4.67,5.33,0
20150926/JASCOAMARHYDROPHONE2402_20150926T202615.314Z.wav,26.62,27.38,0
20150926/JASCOAMARHYDROPHONE2402_20150926T202615.314Z.wav,52.71,53.29,0
20150926/JASCOAMARHYDROPHONE2402_20150926T202615.314Z.wav,56.78,57.22,0
20150926/JASCOAMARHYDROPHONE2402_20150926T202615.314Z.wav,62.8,63.2,0
20150926/JASCOAMARHYDROPHONE2402_20150926T202615.314Z.wav,64.57,65.43,0
20150926/JASCOAMARHYDROPHONE2402_20150926T202615.314Z.wav,69.47,70.53,0
20150926/JASCOAMARHYDROPHONE2402_20150926T202615.314Z.wav,87.48,88.52,0
20150926/JASCOAMARHYDROPHONE2402_20150926T202615.314Z.wav,102.3,103.7,0
20150926/JASCOAMARHYDROPHONE2402_20150926T202615.314Z.wav,165.56,166.44,0
20150926/JASCOAMARHYDROPHONE2402_20150926T202615.314Z.wav,233.56,234.44,0
20150926/JASCOAMARHYDROPHONE2402_20150926T202615.314Z.wav,264.75,265.25,0
20150926/JASCOAMARHYDROPHONE2402_20150926T202615.314Z.wav,292.74,293.26,0
20150927/JASCOAMARHYDROPHONE2402_20150927T154615.644Z.wav,5.52,6.48,0
20150927/JASCOAMARHYDROPHONE2402_20150927T154615.644Z.wav,41.77,42.23,0
20150927/JASCOAMARHYDROPHONE2402_20150927T154615.644Z.wav,51.58,52.42,0
20150927/JASCOAMARHYDROPHONE2402_20150927T154615.644Z.wav,67.28,68.72,0
20150927/JASCOAMARHYDROPHONE2402_20150927T154615.644Z.wav,73.42,74.58,0
20150927/JASCOAMARHYDROPHONE2402_20150927T154615.644Z.wav,86.7,87.3,0
20150927/JASCOAMARHYDROPHONE2402_20150927T154615.644Z.wav,88.72,89.28,0
20150927/JASCOAMARHYDROPHONE2402_20150927T154615.644Z.wav,93.79,94.21,0
20150927/JASCOAMARHYDROPHONE2402_20150927T154615.644Z.wav,101.34,102.66,0
20150927/JASCOAMARHYDROPHONE2402_20150927T154615.644Z.wav,110.57,111.43,0
20150927/JASCOAMARHYDROPHONE2402_20150927T154615.644Z.wav,112.65,113.35,0
20150927/JASCOAMARHYDROPHONE2402_20150927T154615.644Z.wav,147.49,148.51,0
20150927/JASCOAMARHYDROPHONE2402_20150927T154615.644Z.wav,155.48,156.52,0
20150927/JASCOAMARHYDROPHONE2402_20150927T154615.644Z.wav,159.72,160.28,0
20150927/JASCOAMARHYDROPHONE2402_20150927T154615.644Z.wav,171.72,172.28,0
20150927/JASCOAMARHYDROPHONE2402_20150927T154615.644Z.wav,239.47,240.53,0
20150927/JASCOAMARHYDROPHONE2402_20150927T154615.644Z.wav,240.4,241.6,0
20150927/JASCOAMARHYDROPHONE2402_20150927T154615.644Z.wav,250.55,251.45,0
20150927/JASCOAMARHYDROPHONE2402_20150927T154615.644Z.wav,254.18,255.82,0
20150927/JASCOAMARHYDROPHONE2402_20150927T191115.700Z.wav,4.68,5.32,0
20150927/JASCOAMARHYDROPHONE2402_20150927T191115.700Z.wav,18.58,19.42,0
20150927/JASCOAMARHYDROPHONE2402_20150927T191115.700Z.wav,59.68,60.32,0
20150927/JASCOAMARHYDROPHONE2402_20150927T191115.700Z.wav,63.62,64.38,0
20150927/JASCOAMARHYDROPHONE2402_20150927T191115.700Z.wav,90.66,91.34,0
20150927/JASCOAMARHYDROPHONE2402_20150927T191115.700Z.wav,100.76,101.24,0
20150927/JASCOAMARHYDROPHONE2402_20150927T212615.739Z.wav,52.73,53.27,0
20150927/JASCOAMARHYDROPHONE2402_20150927T212615.739Z.wav,58.71,59.29,0
20150927/JASCOAMARHYDROPHONE2402_20150927T212615.739Z.wav,76.7,77.3,0
20150927/JASCOAMARHYDROPHONE2402_20150927T212615.739Z.wav,82.72,83.28,0
20150927/JASCOAMARHYDROPHONE2402_20150927T212615.739Z.wav,82.84,85.16,0
20150927/JASCOAMARHYDROPHONE2402_20150927T212615.739Z.wav,86.56,87.44,0
20150927/JASCOAMARHYDROPHONE2402_20150927T212615.739Z.wav,90.09,91.91,0
20150927/JASCOAMARHYDROPHONE2402_20150927T212615.739Z.wav,93.51,94.49,0
20150927/JASCOAMARHYDROPHONE2402_20150927T212615.739Z.wav,103.54,104.46,0
20150927/JASCOAMARHYDROPHONE2402_20150927T212615.739Z.wav,103.67,104.33,0
20150927/JASCOAMARHYDROPHONE2402_20150927T212615.739Z.wav,113.73,114.27,0
20150927/JASCOAMARHYDROPHONE2402_20150927T212615.739Z.wav,127.64,128.36,0
20150927/JASCOAMARHYDROPHONE2402_20150927T212615.739Z.wav,131.75,132.25,0
20150927/JASCOAMARHYDROPHONE2402_20150927T212615.739Z.wav,192.65,193.35,0
20150927/JASCOAMARHYDROPHONE2402_20150927T212615.739Z.wav,194.79,195.21,0
20150927/JASCOAMARHYDROPHONE2402_20150927T212615.739Z.wav,200.64,201.36,0
20150927/JASCOAMARHYDROPHONE2402_20150927T212615.739Z.wav,252.74,253.26,0
20150927/JASCOAMARHYDROPHONE2402_20150927T212615.739Z.wav,272.56,273.44,0
20150927/JASCOAMARHYDROPHONE2402_20150927T212615.739Z.wav,274.76,275.24,0
20150927/JASCOAMARHYDROPHONE2402_20150927T212615.739Z.wav,288.56,289.44,0
20150929/JASCOAMARHYDROPHONE2402_20150929T073116.311Z.wav,16.73,17.27,1
20150929/JASCOAMARHYDROPHONE2402_20150929T073116.311Z.wav,27.81,28.19,1
20150929/JASCOAMARHYDROPHONE2402_20150929T073116.311Z.wav,29.41,30.59,1
20150929/JASCOAMARHYDROPHONE2402_20150929T073116.311Z.wav,29.69,30.31,1
20150929/JASCOAMARHYDROPHONE2402_20150929T073116.311Z.wav,56.8,57.2,1
20150929/JASCOAMARHYDROPHONE2402_20150929T073116.311Z.wav,64.45,65.55,1
20150929/JASCOAMARHYDROPHONE2402_20150929T073116.311Z.wav,72.7,73.3,1
20150929/JASCOAMARHYDROPHONE2402_20150929T073116.311Z.wav,75.76,76.24,1
20150929/JASCOAMARHYDROPHONE2402_20150929T073116.311Z.wav,76.69,77.31,1
20150929/JASCOAMARHYDROPHONE2402_20150929T073116.311Z.wav,83.6,84.4,1
20150929/JASCOAMARHYDROPHONE2402_20150929T073116.311Z.wav,91.55,92.45,1
20150929/JASCOAMARHYDROPHONE2402_20150929T073116.311Z.wav,93.64,94.36,1
20150929/JASCOAMARHYDROPHONE2402_20150929T073116.311Z.wav,95.73,96.27,1
